"Product","Status","Automotive Recommended","Description","# per Package","GBWP (kHz)","Iq Typical (µA)","Iq Max (µA)","Vos Max (µV)","Operating Voltage Range (V) ","Input Voltage Noise Density (nV/rt(Hz))","PSRR Min (dB)","CMRR Min (dB)","ΔVos/ΔTa (µV/°C)","Ib (pA)","Aol (dB)","PM (deg)","Isc (mA)","Rail-To-Rail","Unity Gain Stable","Slew Rate (V/µS)","EMI Protection","Packages","5K Pricing"
"MCP6L72"," In Production "," No"," Linear Op Amps"," 2"," 2000"," 150"," 240"," 4000"," ""2.0 - 6.0"""," 19"," 89"," 91"," 1.3"," 1"," 105"," 65"," 25"," In/Out"," Yes"," 0.9","  "," 8/SOIC 150mil 8/MSOP","$0.42"
"MCP6L74"," In Production "," No"," Linear Op Amps"," 4"," 2000"," 150"," 240"," 4000"," ""2.0 - 6.0"""," 19"," 89"," 91"," 1.3"," 1"," 105"," 65"," 25"," In/Out"," Yes"," 0.9","  "," 14/TSSOP 14/SOIC 150mil","$0.76"
"TC7650"," In Production "," No"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 2000"," 2000"," 3500"," 5"," ""6.5 - 16""","  "," 120"," 120"," 0.01"," 1.5"," 130"," 90","  "," Out","  "," 2.5","  "," 8/PDIP 14/PDIP","$1.84"
"MCP6271"," In Production "," Yes"," Linear Op Amps"," 1"," 2000"," 170"," 240"," 3000"," ""2.0 - 6.0"""," 20"," 70"," 65"," 1.7"," 1"," 110"," 65"," 25"," In/Out"," Yes"," 0.9","  "," 8/PDIP 8/SOIC 150mil 5/SOT-23 8/MSOP","$0.31"
"MCP6271R"," In Production "," Yes"," Linear Op Amps"," 1"," 2000"," 170"," 240"," 3000"," ""2.0 - 6.0"""," 20"," 70"," 65"," 1.7"," 1"," 110"," 65"," 25"," In/Out"," Yes"," 0.9","  "," 5/SOT-23","$0.31"
"MCP6273"," In Production "," Yes"," Linear Op Amps"," 1"," 2000"," 170"," 240"," 3000"," ""2.0 - 6.0"""," 20"," 70"," 65"," 1.7"," 1"," 110"," 65"," 25"," In/Out"," Yes"," 0.9","  "," 8/PDIP 8/SOIC 150mil 8/MSOP 6/SOT-23","$0.33"
"MCP6471"," In Production "," Yes"," Linear Op Amps"," 1"," 2000"," 100"," 200"," 1500"," ""2.0 - 5.5"""," 27"," 91"," 88"," 2.5"," 1"," 115"," 65"," 32"," In/Out"," Yes"," 1.1","  "," 5/SOT-23 5/SC-70","$0.35"
"MCP6272"," In Production "," Yes"," Linear Op Amps"," 2"," 2000"," 170"," 240"," 3000"," ""2.0 - 6.0"""," 20"," 70"," 65"," 1.7"," 1"," 110"," 65"," 25"," In/Out"," Yes"," 0.9","  "," 8/PDIP 8/SOIC 150mil 8/MSOP","$0.50"
"MCP6472"," In Production "," Yes"," Linear Op Amps"," 2"," 2000"," 100"," 200"," 1500"," ""2.0 - 5.5"""," 27"," 91"," 88"," 2.5"," 1"," 115"," 65"," 32"," In/Out"," Yes"," 1.1","  "," 8/SOIC 150mil 8/MSOP 8/TDFN","$0.56"
"MCP6V71"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 2000"," 170"," 260"," 8"," ""2.0 - 5.5"""," 21"," 115"," 117"," 0.015"," 1"," 126"," 60"," 26"," In/Out"," Yes"," 1"," Yes"," 5/SOT-23","$0.81"
"MCP6V71U"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 2000"," 170"," 260"," 8"," ""2.0 - 5.5"""," 21"," 115"," 117"," 0.015"," 1"," 126"," 60"," 26"," In/Out"," Yes"," 1"," Yes"," 5/SOT-23 5/SC-70","$0.81"
"MCP6274"," In Production "," Yes"," Linear Op Amps"," 4"," 2000"," 170"," 240"," 3000"," ""2.0 - 6.0"""," 20"," 70"," 65"," 1.7"," 1"," 110"," 65"," 25"," In/Out"," Yes"," 0.9","  "," 14/PDIP 14/TSSOP 14/SOIC 150mil","$0.91"
"MCP6V51"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 1"," 2000"," 470"," 590"," 15"," ""4.5 - 45"""," 10.2"," 134"," 110"," 0.036"," 60"," 142"," 66"," 46"," Out"," Yes"," 1.2"," Yes"," 5/SOT-23 8/MSOP","$0.99"
"MCP6474"," In Production "," Yes"," Linear Op Amps"," 4"," 2000"," 100"," 200"," 1500"," ""2.0 - 5.5"""," 27"," 92"," 88"," 2.5"," 1"," 115"," 65"," 32"," In/Out"," Yes"," 1.1","  "," 14/TSSOP 14/SOIC 150mil","$1.01"
"MCP6V26"," In Production "," Yes"," Linear High Precision Op Amps-Auto Zero"," 1"," 2000"," 620"," 800"," 2"," ""2.3 - 5.5"""," 50"," 125"," 125"," 0.05"," 7"," 147"," 65"," 22"," In/Out"," Yes"," 1","  "," 8/SOIC 150mil 8/MSOP 8/TDFN","$1.15"
"MCP6V28"," In Production "," Yes"," Linear High Precision Op Amps-Auto Zero"," 1"," 2000"," 620"," 800"," 2"," ""2.3 - 5.5"""," 50"," 125"," 125"," 0.05"," 7"," 147"," 65"," 22"," In/Out"," Yes"," 1","  "," 8/SOIC 150mil 8/MSOP 8/TDFN","$1.19"
"MCP6V72"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 2"," 2000"," 170"," 260"," 8"," ""2.0 - 5.5"""," 21"," 115"," 117"," 0.015"," 1"," 126"," 60"," 26"," In/Out"," Yes"," 1"," Yes"," 8/MSOP 8/TDFN","$1.24"
"MCP6V27"," In Production "," Yes"," Linear High Precision Op Amps-Auto Zero"," 2"," 2000"," 620"," 800"," 2"," ""2.3 - 5.5"""," 50"," 125"," 125"," 0.05"," 7"," 147"," 65"," 22"," In/Out"," Yes"," 1","  "," 8/SOIC 150mil 8/MSOP 8/DFN","$1.75"
"MCP6V74"," In Production "," Yes"," Linear High Precision Op Amps-Chopper Stabilized"," 4"," 2000"," 170"," 260"," 8"," ""2.0 - 5.5"""," 21"," 115"," 117"," 0.015"," 1"," 126"," 60"," 26"," In/Out"," Yes"," 1"," Yes"," 14/TSSOP","$2.19"
"MIC6211"," In Production "," No"," Linear Op Amps"," 1"," 2500"," 1200"," 1800"," 7000"," ""4.0 - 32"""," 0"," 65"," 45"," 0"," 0"," 105"," 0"," 40","  "," No"," 0","  "," 5/SOT-23","$0.22"
