"Product","Status","Automotive Recommended","Description","# per Package","GBWP (kHz)","Iq Typical (µA)","Iq Max (µA)","Vos Max (µV)","Operating Voltage Range (V) ","Input Voltage Noise Density (nV/rt(Hz))","PSRR Min (dB)","CMRR Min (dB)","ΔVos/ΔTa (µV/°C)","Ib (pA)","Aol (dB)","PM (deg)","Isc (mA)","Rail-To-Rail","Unity Gain Stable","Slew Rate (V/µS)","EMI Protection","Packages","5K Pricing"
"MCP6492"," In Production "," Yes"," Linear Op Amps"," 2"," 7500"," 530"," 800"," 1500"," ""2.4 - 5.5"""," 14"," 90"," 88"," 2.5"," 1"," 115"," 57"," 40"," In/Out","  "," 6","  "," 8/SOIC 150mil 8/MSOP 8/TDFN","$0.67"
"MCP6494"," In Production "," Yes"," Linear Op Amps"," 4"," 7500"," 530"," 800"," 1500"," ""2.4 - 5.5"""," 14"," 90"," 88"," 2.5"," 1"," 115"," 57"," 40"," In/Out"," Yes"," 6","  "," 14/TSSOP 14/SOIC 150mil","$1.19"
"MCP6L91R"," In Production "," No"," Linear Op Amps"," 1"," 10000"," 850"," 1350"," 4000"," ""2.4 - 6.0"""," 9.4"," 89"," 91"," 1.3"," 1"," 105"," 65"," 25"," In/Out"," Yes"," 7","  "," 5/SOT-23","$0.34"
"MCP6L91"," In Production "," No"," Linear Op Amps"," 1"," 10000"," 850"," 1350"," 4000"," ""2.4 - 6.0"""," 9.4"," 89"," 91"," 1.3"," 1"," 105"," 65"," 25"," In/Out"," Yes"," 7","  "," 8/MSOP","$0.42"
"MCP6L92"," In Production "," No"," Linear Op Amps"," 2"," 10000"," 850"," 1350"," 4000"," ""2.4 - 6.0"""," 9.4"," 89"," 91"," 1.3"," 1"," 105"," 65"," 25"," In/Out"," Yes"," 7","  "," 8/SOIC 150mil 8/MSOP","$0.56"
"MCP6L94"," In Production "," No"," Linear Op Amps"," 4"," 10000"," 850"," 1350"," 4000"," ""2.4 - 6.0"""," 9.4"," 89"," 91"," 1.3"," 1"," 105"," 65"," 25"," In/Out"," Yes"," 7","  "," 14/TSSOP 14/SOIC 150mil","$0.98"
"MCP6291"," In Production "," Yes"," Linear Op Amps"," 1"," 10000"," 1000"," 1300"," 3000"," ""2.4 - 6.0"""," 8.7"," 70"," 65"," 1.7"," 1"," 110"," 65"," 25"," In/Out"," Yes"," 7","  "," 8/PDIP 8/SOIC 150mil 5/SOT-23 8/MSOP","$0.34"
"MCP6291R"," In Production "," Yes"," Linear Op Amps"," 1"," 10000"," 1000"," 1300"," 3000"," ""2.4 - 6.0"""," 8.7"," 70"," 65"," 1.7"," 1"," 110"," 65"," 25"," In/Out"," Yes"," 7","  "," 5/SOT-23","$0.40"
"MCP6293"," In Production "," Yes"," Linear Op Amps"," 1"," 10000"," 1000"," 1300"," 3000"," ""2.4 - 6.0"""," 8.7"," 70"," 65"," 1.7"," 1"," 110"," 65"," 25"," In/Out"," Yes"," 7","  "," 8/PDIP 8/SOIC 150mil 8/MSOP 6/SOT-23","$0.43"
"MCP6292"," In Production "," Yes"," Linear Op Amps"," 2"," 10000"," 1000"," 1300"," 3000"," ""2.4 - 6.0"""," 8.7"," 70"," 65"," 1.7"," 1"," 110"," 65"," 25"," In/Out"," Yes"," 7","  "," 8/PDIP 8/SOIC 150mil 8/MSOP","$0.65"
